Date;Latin America;North West Europe Zone;MED Zone (MED Sea+Black Sea);Other North Africa;Unknown;Western Africa;East Coast Canada;Southern Africa;Oceania;South-Central Asia;South-East Asia;Eastern Asia;Eastern Africa;Other Southern Europe;Other Middle East;West Coast Canada;Mideast Gulf;Period End Date
2021-03-19;488.11;0;0;0;44.26;0;0;0;0;0;0;0;0;0;0;0;0;2021-03-19
2021-03-26;542.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021-03-26
2021-04-02;680.96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021-04-02
2021-04-09;872.79;0;0;0;15.21;0;0;0;0;0;20.49;0;0;0;0;0;0;2021-04-09
2021-04-16;687.45;0;15.30;0;0;0;39.35;0;0;0;0;0;0;0;0;0;0;2021-04-16
2021-04-23;791.63;0;0;0;5.09;0;0;0;0;0;0;0;0;0;0;0;0;2021-04-23
2021-04-30;677.70;0;0;0;44.28;0;0;0;0;0;0;0;0;0;0;0;0;2021-04-30
2021-05-07;641.73;44.57;0;0;3.05;0;36.38;0;0;0;0;0;0;0;0;0;0;2021-05-07
2021-05-14;672.29;0;0;0;44.06;0;0;0;0;0;0;0;0;0;0;0;0;2021-05-14
2021-05-21;608.44;45.15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021-05-21
2021-05-28;644.74;94.99;0;0;41.95;0;33.78;0;0;0;0;0;0;0;0;0;0;2021-05-28
2021-06-04;773.72;140.41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021-06-04
2021-06-11;800.49;136.95;0;0;42.64;0;0;0;0;0;0;0;0;0;0;0;0;2021-06-11
2021-06-18;783.02;44.60;0;45.87;7.68;0;0;0;0;0;0;0;0;0;0;0;0;2021-06-18
2021-06-25;730.41;119.35;0;49.34;14.72;0;0;0;0;0;0;0;0;0;0;0;0;2021-06-25
2021-07-02;899.10;0;0;0;1.25;0;37.16;0;0;0;0;0;0;0;0;0;0;2021-07-02
2021-07-09;585.17;44.91;0;0;130.03;0;0;0;0;0;0;0;0;0;0;0;0;2021-07-09
2021-07-16;814.33;72.05;0;0;6.78;0;0;0;0;0;0;0;0;0;0;0;0;2021-07-16
2021-07-23;688.54;45.77;44.02;0;4.01;0;0;0;0;0;0;0;0;0;0;0;0;2021-07-23
2021-07-30;690.76;132.88;43.44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021-07-30
2021-08-06;870.11;39.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021-08-06
2021-08-13;868.71;0;24.96;0;6.05;0;0;0;0;0;0;0;0;0;0;0;0;2021-08-13
2021-08-20;896.35;11.17;0;0;0;0;40.22;0;0;0;0;0;0;0;0;0;0;2021-08-20
2021-08-27;716.76;0;49.35;0;0;0;29.37;0;0;0;0;0;0;0;0;0;0;2021-08-27
2021-09-03;709.72;0;0;0;45.99;0;0;0;0;0;0;0;0;0;0;0;0;2021-09-03
2021-09-10;492.50;0;0;0;44.06;0;0;0;0;0;0;0;0;0;0;0;0;2021-09-10
2021-09-17;593.10;10.36;0;0;33.76;0;20.73;0;0;0;0;0;0;0;0;0;0;2021-09-17
2021-09-24;583.90;0;0;0;27.37;0;0;0;0;0;0;0;0;0;0;0;0;2021-09-24
2021-10-01;712.75;44.21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021-10-01
2021-10-08;744.43;0;0;0;1.52;0;0;0;0;0;0;0;0;0;0;0;0;2021-10-08
2021-10-15;696.12;45.45;0;0;44.81;0;0;0;0;0;0;0;0;0;0;0;0;2021-10-15
2021-10-22;482.59;18.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021-10-22
2021-10-29;591.05;43.04;0;0;5.33;0;0;0;0;0;0;0;0;0;0;0;0;2021-10-29
2021-11-05;681.65;0;0;0;0;0;20.72;0;0;0;0;0;0;0;0;0;0;2021-11-05
2021-11-12;902.86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021-11-12
2021-11-19;804.95;0;0;0;44.29;0;0;0;0;0;0;0;0;0;0;0;0;2021-11-19
2021-11-26;709.74;0;0;0;24.67;0;0.92;0;0;0;0;0;0;0;0;0;0;2021-11-26
2021-12-03;677.34;78.97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021-12-03
2021-12-10;653.43;0;0;0;15.40;0;45.43;0;0;0;0;0;0;10.35;0;0;0;2021-12-10
2021-12-17;785.49;0;0;0;0;0;36.94;0;0;0;0;0;0;0;0;0;0;2021-12-17
2021-12-24;837.64;48.60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021-12-24
2021-12-31;880.44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021-12-31
2022-01-07;805.19;42.91;0;0;0;0;0;0;0;0;0;22.78;0;0;0;0;0;2022-01-07
2022-01-14;796.94;42.54;0;0;0;0;0;0;0;0;0;22.78;0;0;0;0;0;2022-01-14
2022-01-21;565.99;24.67;0;0;0;0;17.76;0;0;0;0;0;0;0;0;0;0;2022-01-21
2022-01-28;516.70;15.85;0;0;0;0;18.31;0;0;0;0;0;0;0;0;0;0;2022-01-28
2022-02-04;669.44;15.85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022-02-04
2022-02-11;815.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022-02-11
2022-02-18;527.36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022-02-18
2022-02-25;515.30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022-02-25
2022-03-04;837.96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022-03-04
2022-03-11;1001.43;0;0;0;12.33;0;0;0;0;0;0;0;0;0;0;0;0;2022-03-11
2022-03-18;669.17;0;0;0;19.24;0;31.52;0;0;0;0;0;0;0;0;0;0;2022-03-18
2022-03-25;728.27;143.57;0;0;22.16;0;34.11;0;0;0;0;0;0;0;0;0;0;2022-03-25
2022-04-01;1019.76;87.95;0;0;7.62;0;0;0;0;0;0;0;0;0;0;15.55;0;2022-04-01
2022-04-08;842.86;83.85;0;0;37.02;0;0;0;0;0;0;0;0;0;0;0;0;2022-04-08
2022-04-15;1023.01;77.87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022-04-15
2022-04-22;1093.23;0;0;0;0;0;42.27;0;0;0;0;0;0;0;0;0;0;2022-04-22
2022-04-29;1103.86;0;39.79;0;9.35;0;0;0;0;0;0;0;0;0;0;0;0;2022-04-29
2022-05-06;889.36;18.80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022-05-06
2022-05-13;907.40;0;0;0;21.10;0;41.10;0;0;0;0;0;0;0;24.67;0;0;2022-05-13
2022-05-20;654.05;10.74;45.27;0;10.29;15.72;0;0;0;0;0;0;0;0;0;0;0;2022-05-20
2022-05-27;837.71;0;0;0;2.99;0;0;0;0;0;0;0;0;0;0;0;0;2022-05-27
2022-06-03;918.49;96.80;0;0;10.31;74.66;0;0;0;0;0;0;0;0;0;0;0;2022-06-03
2022-06-10;909.70;67.19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022-06-10
2022-06-17;894.50;0;0;0;0;19.00;20.57;0;0;0;0;0;0;0;0;0;0;2022-06-17
2022-06-24;787.48;45.67;0;0;15.88;0;0;0;0;0;0;0;0;0;0;0;0;2022-06-24
2022-07-01;990.12;13.16;0;0;2.67;0;0;0;0;0;0;0;0;0;0;0;0;2022-07-01
